字词频统计_语料库在线(www.cncorpus.org)
2019-5-20 12:08:37

序号		字词		出现次数		出现频率
1		，		2441		3.2906
2		的		2071		2.7919
3		我		1944		2.6207
4		你		1839		2.4791
5		不		1647		2.2203
6		。		1613		2.1744
7		是		1538		2.0733
8		了		1128		1.5206
9		么		867		1.1688
10		有		810		1.0919
11		好		760		1.0245
12		？		750		1.0111
13		一		713		0.9612
14		人		708		0.9544
15		说		631		0.8506
16		这		569		0.7671
17		想		549		0.7401
18		就		537		0.7239
19		要		511		0.6889
20		在		508		0.6848
21		心		501		0.6754
22		个		492		0.6633
23		没		475		0.6403
24		.		456		0.6147
25		会		423		0.5702
26		什		421		0.5675
27		啊		405		0.546
28		！		393		0.5298
29		可		393		0.5298
30		很		385		0.519
31		还		353		0.4759
32		来		352		0.4745
33		 		348		0.4691
34		爱		347		0.4678
35		也		337		0.4543
36		能		333		0.4489
37		到		330		0.4449
38		以		320		0.4314
39		那		314		0.4233
40		吧		308		0.4152
41		得		297		0.4004
42		看		297		0.4004
43		都		284		0.3829
44		哈		281		0.3788
45		事		274		0.3694
46		自		274		0.3694
47		为		270		0.364
48		道		269		0.3626
49		对		263		0.3545
50		多		260		0.3505
51		知		255		0.3438
52		过		246		0.3316
53		天		237		0.3195
54		吗		233		0.3141
55		呢		230		0.3101
56		和		218		0.2939
57		上		216		0.2912
58		学		212		0.2858
59		情		211		0.2844
60		去		204		0.275
61		现		203		0.2737
62		?		201		0.271
63		o		201		0.271
64		给		200		0.2696
65		别		199		0.2683
66		时		198		0.2669
67		下		196		0.2642
68		喜		195		0.2629
69		己		194		0.2615
70		怎		194		0.2615
71		大		193		0.2602
72		觉		192		0.2588
73		欢		188		0.2534
74		做		185		0.2494
75		抱		184		0.248
76		意		182		0.2453
77		出		176		0.2373
78		们		174		0.2346
79		样		173		0.2332
80		~		169		0.2278
81		话		169		0.2278
82		真		168		0.2265
83		生		164		0.2211
84		起		161		0.217
85		亲		160		0.2157
86		问		159		0.2143
87		子		158		0.213
88		听		156		0.2103
89		开		155		0.209
90		感		154		0.2076
91		小		153		0.2063
92		谢		152		0.2049
93		脸		151		0.2036
94		他		148		0.1995
95		后		146		0.1968
96		点		145		0.1955
97		：		143		0.1928
98		（		139		0.1874
99		）		139		0.1874
100		r		136		0.1833
101		信		136		0.1833
102		明		134		0.1806
103		嗯		132		0.1779
104		机		132		0.1779
105		实		132		0.1779
106		然		131		0.1766
107		错		129		0.1739
108		发		129		0.1739
109		太		127		0.1712
110		捂		127		0.1712
111		0		126		0.1699
112		定		126		0.1699
113		理		124		0.1672
114		老		123		0.1658
115		用		121		0.1631
116		着		121		0.1631
117		只		121		0.1631
118		回		120		0.1618
119		1		118		0.1591
120		吃		118		0.1591
121		如		118		0.1591
122		最		118		0.1591
123		e		117		0.1577
124		快		116		0.1564
125		思		114		0.1537
126		让		112		0.151
127		才		110		0.1483
128		里		109		0.1469
129		啦		108		0.1456
130		歌		106		0.1429
131		所		106		0.1429
132		再		105		0.1415
133		晚		104		0.1402
134		a		102		0.1375
135		家		102		0.1375
136		哦		102		0.1375
137		睡		102		0.1375
138		比		101		0.1362
139		果		101		0.1362
140		呵		101		0.1362
141		笑		101		0.1362
142		安		98		0.1321
143		因		98		0.1321
144		方		97		0.1308
145		打		94		0.1267
146		跟		94		0.1267
147		手		94		0.1267
148		呀		94		0.1267
149		些		93		0.1254
150		嘛		92		0.124
151		成		90		0.1213
152		地		90		0.1213
153		电		90		0.1213
154		面		90		0.1213
155		题		90		0.1213
156		而		89		0.12
157		2		88		0.1186
158		解		88		0.1186
159		前		88		0.1186
160		同		86		0.1159
161		经		85		0.1146
162		力		85		0.1146
163		无		85		0.1146
164		行		84		0.1132
165		谁		84		0.1132
166		相		84		0.1132
167		找		84		0.1132
168		种		84		0.1132
169		懂		83		0.1119
170		气		83		0.1119
171		啥		83		0.1119
172		表		82		0.1105
173		把		81		0.1092
174		答		81		0.1092
175		但		81		0.1092
176		关		81		0.1092
177		c		80		0.1078
178		分		80		0.1078
179		工		80		0.1078
180		日		80		0.1078
181		见		79		0.1065
182		年		79		0.1065
183		l		78		0.1051
184		次		78		0.1051
185		公		78		0.1051
186		已		78		0.1051
187		动		77		0.1038
188		身		77		0.1038
189		应		77		0.1038
190		白		76		0.1025
191		5		75		0.1011
192		作		75		0.1011
193		正		74		0.0998
194		法		73		0.0984
195		聊		73		0.0984
196		认		73		0.0984
197		难		72		0.0971
198		高		71		0.0957
199		女		71		0.0957
200		其		71		0.0957
201		g		70		0.0944
202		算		70		0.0944
203		中		70		0.0944
204		重		70		0.0944
205		钱		69		0.093
206		&#39;		68		0.0917
207		…		68		0.0917
208		3		68		0.0917
209		哪		68		0.0917
210		神		68		0.0917
211		玩		68		0.0917
212		像		67		0.0903
213		当		66		0.089
214		记		66		0.089
215		间		66		0.089
216		,		65		0.0876
217		【		65		0.0876
218		】		65		0.0876
219		放		65		0.0876
220		友		65		0.0876
221		考		64		0.0863
222		美		64		0.0863
223		器		64		0.0863
224		少		64		0.0863
225		头		64		0.0863
226		活		63		0.0849
227		之		63		0.0849
228		被		62		0.0836
229		嘿		62		0.0836
230		梦		62		0.0836
231		司		62		0.0836
232		拥		62		0.0836
233		干		61		0.0822
234		件		61		0.0822
235		业		61		0.0822
236		6		60		0.0809
237		瑰		60		0.0809
238		玫		60		0.0809
239		今		59		0.0795
240		怕		59		0.0795
241		m		58		0.0782
242		S		58		0.0782
243		息		58		0.0782
244		习		58		0.0782
245		于		58		0.0782
246		单		57		0.0768
247		更		57		0.0768
248		门		57		0.0768
249		体		57		0.0768
250		月		57		0.0768
251		本		56		0.0755
252		等		56		0.0755
253		乐		56		0.0755
254		系		56		0.0755
255		害		55		0.0741
256		许		55		0.0741
257		直		55		0.0741
258		试		54		0.0728
259		物		54		0.0728
260		又		54		0.0728
261		—		53		0.0714
262		～		53		0.0714
263		该		53		0.0714
264		候		53		0.0714
265		先		53		0.0714
266		C		52		0.0701
267		告		52		0.0701
268		望		52		0.0701
269		性		52		0.0701
270		[		51		0.0688
271		确		51		0.0688
272		]		50		0.0674
273		7		50		0.0674
274		常		50		0.0674
275		级		50		0.0674
276		叫		50		0.0674
277		、		49		0.0661
278		类		49		0.0661
279		量		49		0.0661
280		刚		48		0.0647
281		结		48		0.0647
282		口		48		0.0647
283		完		48		0.0647
284		文		48		0.0647
285		智		48		0.0647
286		花		47		0.0634
287		水		47		0.0634
288		总		47		0.0634
289		唱		46		0.062
290		反		46		0.062
291		强		46		0.062
292		游		46		0.062
293		哒		45		0.0607
294		东		45		0.0607
295		满		45		0.0607
296		度		44		0.0593
297		饭		44		0.0593
298		接		44		0.0593
299		名		44		0.0593
300		特		44		0.0593
301		需		44		0.0593
302		喝		43		0.058
303		静		43		0.058
304		朋		43		0.058
305		西		43		0.058
306		校		43		0.058
307		越		43		0.058
308		此		42		0.0566
309		两		42		0.0566
310		深		42		0.0566
311		提		42		0.0566
312		转		42		0.0566
313		走		42		0.0566
314		或		41		0.0553
315		较		41		0.0553
316		希		41		0.0553
317		戏		41		0.0553
318		星		41		0.0553
319		主		41		0.0553
320		变		40		0.0539
321		从		40		0.0539
322		健		40		0.0539
323		世		40		0.0539
324		原		40		0.0539
325		宝		39		0.0526
326		何		39		0.0526
327		科		39		0.0526
328		男		39		0.0526
329		识		39		0.0526
330		受		39		0.0526
331		诉		39		0.0526
332		微		39		0.0526
333		向		39		0.0526
334		早		39		0.0526
335		　		38		0.0512
336		报		38		0.0512
337		几		38		0.0512
338		界		38		0.0512
339		控		38		0.0512
340		每		38		0.0512
341		脑		38		0.0512
342		伤		38		0.0512
343		兴		38		0.0512
344		运		38		0.0512
345		字		38		0.0512
346		帮		37		0.0499
347		必		37		0.0499
348		第		37		0.0499
349		合		37		0.0499
350		她		37		0.0499
351		通		37		0.0499
352		网		37		0.0499
353		新		37		0.0499
354		制		37		0.0499
355		i		36		0.0485
356		词		36		0.0485
357		孩		36		0.0485
358		哭		36		0.0485
359		流		36		0.0485
360		始		36		0.0485
361		位		36		0.0485
362		影		36		0.0485
363		遇		36		0.0485
364		长		36		0.0485
365		住		36		0.0485
366		儿		35		0.0472
367		管		35		0.0472
368		进		35		0.0472
369		休		35		0.0472
370		眼		35		0.0472
371		y		34		0.0458
372		哎		34		0.0458
373		康		34		0.0458
374		马		34		0.0458
375		清		34		0.0458
376		握		34		0.0458
377		写		34		0.0458
378		n		33		0.0445
379		达		33		0.0445
380		非		33		0.0445
381		肯		33		0.0445
382		升		33		0.0445
383		嘻		33		0.0445
384		幸		33		0.0445
385		远		33		0.0445
386		者		33		0.0445
387		专		33		0.0445
388		t		32		0.0431
389		否		32		0.0431
390		乖		32		0.0431
391		绝		32		0.0431
392		累		32		0.0431
393		奇		32		0.0431
394		容		32		0.0431
395		外		32		0.0431
396		8		31		0.0418
397		办		31		0.0418
398		边		31		0.0418
399		处		31		0.0418
400		改		31		0.0418
401		简		31		0.0418
402		交		31		0.0418
403		借		31		0.0418
404		冷		31		0.0418
405		利		31		0.0418
406		请		31		0.0418
407		书		31		0.0418
408		挺		31		0.0418
409		音		31		0.0418
410		整		31		0.0418
411		准		31		0.0418
412		备		30		0.0404
413		福		30		0.0404
414		复		30		0.0404
415		敢		30		0.0404
416		功		30		0.0404
417		精		30		0.0404
418		摸		30		0.0404
419		平		30		0.0404
420		三		30		0.0404
421		条		30		0.0404
422		便		29		0.0391
423		二		29		0.0391
424		光		29		0.0391
425		悔		29		0.0391
426		加		29		0.0391
427		切		29		0.0391
428		且		29		0.0391
429		收		29		0.0391
430		研		29		0.0391
431		阳		29		0.0391
432		负		28		0.0377
433		哼		28		0.0377
434		决		28		0.0377
435		苦		28		0.0377
436		片		28		0.0377
437		推		28		0.0377
438		与		28		0.0377
439		《		27		0.0364
440		》		27		0.0364
441		包		27		0.0364
442		保		27		0.0364
443		猜		27		0.0364
444		场		27		0.0364
445		费		27		0.0364
446		服		27		0.0364
447		球		27		0.0364
448		全		27		0.0364
449		师		27		0.0364
450		态		27		0.0364
451		醒		27		0.0364
452		周		27		0.0364
453		资		27		0.0364
454		(		26		0.035
455		”		26		0.035
456		般		26		0.035
457		毕		26		0.035
458		测		26		0.035
459		持		26		0.035
460		带		26		0.035
461		礼		26		0.035
462		陪		26		0.035
463		绪		26		0.035
464		语		26		0.035
465		足		26		0.035
466		“		25		0.0337
467		读		25		0.0337
468		狗		25		0.0337
469		号		25		0.0337
470		换		25		0.0337
471		技		25		0.0337
472		假		25		0.0337
473		近		25		0.0337
474		空		25		0.0337
475		虑		25		0.0337
476		入		25		0.0337
477		痛		25		0.0337
478		言		25		0.0337
479		验		25		0.0337
480		愿		25		0.0337
481		s		24		0.0324
482		步		24		0.0324
483		差		24		0.0324
484		除		24		0.0324
485		够		24		0.0324
486		计		24		0.0324
487		节		24		0.0324
488		金		24		0.0324
489		紧		24		0.0324
490		久		24		0.0324
491		课		24		0.0324
492		路		24		0.0324
493		论		24		0.0324
494		买		24		0.0324
495		慢		24		0.0324
496		目		24		0.0324
497		念		24		0.0324
498		配		24		0.0324
499		山		24		0.0324
500		使		24		0.0324
501		适		24		0.0324
502		虽		24		0.0324
503		训		24		0.0324
504		易		24		0.0324
505		咋		24		0.0324
506		证		24		0.0324
507		)		23		0.031
508		h		23		0.031
509		风		23		0.031
510		鼓		23		0.031
511		讲		23		0.031
512		拿		23		0.031
513		您		23		0.031
514		软		23		0.031
515		险		23		0.031
516		养		23		0.031
517		d		22		0.0297
518		棒		22		0.0297
519		程		22		0.0297
520		底		22		0.0297
521		恋		22		0.0297
522		乱		22		0.0297
523		忙		22		0.0297
524		内		22		0.0297
525		食		22		0.0297
526		它		22		0.0297
527		图		22		0.0297
528		未		22		0.0297
529		消		22		0.0297
530		羞		22		0.0297
531		夜		22		0.0297
532		注		22		0.0297
533		座		22		0.0297
534		；		21		0.0283
535		呗		21		0.0283
536		待		21		0.0283
537		恩		21		0.0283
538		坚		21		0.0283
539		介		21		0.0283
540		境		21		0.0283
541		客		21		0.0283
542		亮		21		0.0283
543		命		21		0.0283
544		期		21		0.0283
545		歉		21		0.0283
546		求		21		0.0283
547		趣		21		0.0283
548		术		21		0.0283
549		顺		21		0.0283
550		透		21		0.0283
551		万		21		0.0283
552		惜		21		0.0283
553		义		21		0.0283
554		照		21		0.0283
555		^		20		0.027
556		√		20		0.027
557		段		20		0.027
558		诶		20		0.027
559		搞		20		0.027
560		萌		20		0.027
561		渺		20		0.027
562		南		20		0.027
563		弃		20		0.027
564		取		20		0.027
565		热		20		0.027
566		任		20		0.027
567		示		20		0.027
568		似		20		0.027
569		四		20		0.027
570		讨		20		0.027
571		调		20		0.027
572		忘		20		0.027
573		细		20		0.027
574		续		20		0.027
575		阴		20		0.027
576		I		19		0.0256
577		O		19		0.0256
578		阿		19		0.0256
579		班		19		0.0256
580		板		19		0.0256
581		遍		19		0.0256
582		存		19		0.0256
583		赶		19		0.0256
584		岗		19		0.0256
585		红		19		0.0256
586		究		19		0.0256
587		句		19		0.0256
588		离		19		0.0256
589		码		19		0.0256
590		默		19		0.0256
591		暖		19		0.0256
592		品		19		0.0256
593		忍		19		0.0256
594		傻		19		0.0256
595		首		19		0.0256
596		数		19		0.0256
597		死		19		0.0256
598		随		19		0.0256
599		谈		19		0.0256
600		套		19		0.0256
601		午		19		0.0256
602		衣		19		0.0256
603		哟		19		0.0256
604		勇		19		0.0256
605		由		19		0.0256
606		装		19		0.0256
607		!		18		0.0243
608		4		18		0.0243
609		爸		18		0.0243
610		独		18		0.0243
611		额		18		0.0243
612		份		18		0.0243
613		共		18		0.0243
614		故		18		0.0243
615		及		18		0.0243
616		脚		18		0.0243
617		教		18		0.0243
618		竟		18		0.0243
619		困		18		0.0243
620		漂		18		0.0243
621		设		18		0.0243
622		失		18		0.0243
623		效		18		0.0243
624		圳		18		0.0243
625		值		18		0.0243
626		职		18		0.0243
627		抓		18		0.0243
628		并		17		0.0229
629		病		17		0.0229
630		楚		17		0.0229
631		传		17		0.0229
632		担		17		0.0229
