"msgId","msgSvrId","type","status","isSend","isShowTimer","createTime","talker","content","imgPath","reserved","lvbuffer","transContent","transBrandWording","talkerId","bizClientMsgId","bizChatId","bizChatUserId","msgSeq","flag"
"91598","482383319293354675","1","3","1","","1538052968000","gh_486994bdc191","么么哒","","","{","","","38","","-1","","674984671","0"
"91599","525979034480188152","1","3","0","","1538052972000","gh_486994bdc191","老婆，么么哒..","","","{","","","38","","-1","","674984672","0"
"91600","854149583604990433","1","3","1","","1538052974000","gh_486994bdc191","喊得这么亲切，一定是关系很好。","","","{","","","38","","-1","","674984673","0"
"91601","3304641115974870881","1","3","0","","1538052975000","gh_486994bdc191","有啥关系 不觉得很亲切吗。","","","{","","","38","","-1","","674984674","0"
"91602","6459586588094152690","1","3","1","","1538052980000","gh_486994bdc191","宝贝别闹有人看着呢","","","{","","","38","","-1","","674984675","0"
"91603","725049272347248682","34","3","0","","1538052981000","gh_486994bdc191","gh_486994bdc191:1000:1
","292056092718fcaf46e3fa0103","","{","","","38","","-1","","674984676","0"
"91604","1583040614236841889","1","3","1","","1538052985000","gh_486994bdc191","真是的，可亲切哟","","","{","","","38","","-1","","674984677","0"
"91605","6366546799734375016","1","3","0","","1538052987000","gh_486994bdc191","网络好慢","","","{","","","38","","-1","","674984678","0"
"91606","419836397420643934","1","3","1","","1538052993000","gh_486994bdc191","我越狱下载网络快的很","","","{","","","38","","-1","","674984680","0"
"91607","1746732218554223494","1","3","0","","1538052999000","gh_486994bdc191","看手机 玩电脑游戏","","","{","","","38","","-1","","674984681","0"
"91608","755477069626474927","1","3","1","","1538053005000","gh_486994bdc191","休息劳逸结合哦，玩电脑累了就去学习放松一下。","","","{","","","38","","-1","","674984682","0"
"91609","8952281871282742105","1","3","0","","1538053006000","gh_486994bdc191","据说睡懒觉是对假期最起码的尊重","","","{","","","38","","-1","","674984683","0"
"91610","4273933738000936304","1","3","1","","1538053013000","gh_486994bdc191","那怎么了？","","","{","","","38","","-1","","674984684","0"
"91611","3072664823900839450","1","3","0","","1538053014000","gh_486994bdc191","在学校除了学习睡觉，真的发现自己没什么可做的了","","","{","","","38","","-1","","674984685","0"
"91612","3356427934046997612","1","3","1","","1538053020000","gh_486994bdc191","提起学校，突然想到了学习班学校。","","","{","","","38","","-1","","674984686","0"
"91613","6262821586265424773","1","3","0","","1538053021000","gh_486994bdc191","我还是喜欢大学校园的老师","","","{","","","38","","-1","","674984687","0"
"91614","1177640086215063861","1","3","0","","1538053023000","gh_486994bdc191","诶，你还在上学咩？","","","{","","","38","","-1","","674984688","0"
"91615","8542546194136396393","1","3","1","","1538053027000","gh_486994bdc191","好好珍惜在大学的时光吧。","","","{","","","38","","-1","","674984689","0"
