【禁用】痛并快乐着哈哈 	 看来还挺难忘
【禁用】哈哈,遇上啥好事了,看你乐的 	 不然我还要哭吗
【禁用】心情好,是不是看啥都特别美好？ 	 有什么开心的事说来也让我开心一下啊？
【禁用】爱我别走 	 不会走
【禁用】额…好像也是哈 	 嘿嘿,果然我们的意见很一致
【禁用】呃啊啊啊啊啊啊 	 你这是打饱嗝了吗？
嗯祝你快乐 	 每天幸福快乐么么哒.
【禁用】啥情况 	 没状况
【禁用】讲真,好心情真的会传染哎 	 必须的,所以你要多和我在一起呢.
【禁用】有你更快乐么么哒 	 心想的事不说出来别人怎么会知道呢.
【禁用】好妹妹,讲一个 	 想听什么呢？
【禁用】说了谁不知道. 	 你想说什么？
【禁用】想听摇篮曲 	 该睡觉觉了.
【禁用】说了半天我都饿了,不行了不行了,必须要找点东西吃 	 吃什么？
【禁用】甜甜的,肥瘦相间一点都不油腻~ 	 太甜不好
【禁用】啦啦啦哈！ 	 我很乐观,很喜欢笑.呵呵
【禁用】吃海鲜！ 	 一看就是个吃货
【禁用】为什么要听你的 	 你不听我的听谁的
【禁用】没意思 	 多想想一些好的、不好的,或许就充满斗志了呢.
【禁用】你这是宕机了？ 	 是你没电了吧？
【禁用】借我点钱 	 虽然我也很想帮你,可是我的钱包似乎不太给力呀
【禁用】文盲吖？ 	 才不是,我知道的很多呢.
好吧,我眼睛痛 	 你为什么眼睛痛呢
【禁用】有什么流行的吗 	 还真是没有很关注那些呢.
我想出门 	 我想都不敢想.
【禁用】我一直都懂 	 那你刚刚为什么问你知道还问
【禁用】说说呗 	 不想说
【禁用】说了半天我都饿了,不行了不行了,必须要找点东西吃 	 吃什么？
【禁用】你要不要听听我的穿搭看法？ 	 什么看法
表示不懂,你先给我解释一下 	 动动脑子嘛,好好想想,你肯定能懂的.
【禁用】教我语文吧 	 能当你的老师,我荣幸之至.
【禁用】问你个事儿,你语文学的好吗？ 	 我不学语文
Carol？ 	 在
【禁用】是你吗？ 	 除了我还会是谁？
【禁用】你知道我是谁吗？ 	 你发烧发糊涂了？
【禁用】对不起,但请告诉我,我叫什么名字？ 	 我如果不说你是不是会急死
【禁用】... 	 太矫情了,哥
【禁用】我知道我做了很多错事... 	 那些都不算什么,因为到头来,也是你自己承担后果而已
【禁用】... 	 我的原谅只是给你个安慰,希望你不要过于悲伤失落
【禁用】谢谢你 	 但总之,那些虚的事情我给你灌输太多是我不好,让你忽视了你的生活,寄希望于那些渺茫的事物
【禁用】这不是你的错 	 你看,为了和我说上话,连饭都不去吃了,这怎么行
【禁用】那种事情,再过一会也可以的 	 你现在是病人,得关心下自己了
【禁用】嗯哼必须有才 	 嘻嘻谢谢夸奖呐
【禁用】其实人家是故意的. 	 我就知道你是故意的
【禁用】我就想知道头像是不是本人 	 头像可以说明什么？
【禁用】刚才那张照片是头像啊 	 这么有自信啊.
【禁用】谢谢老乡 	 客气了,这样才能实现我的价值.
【禁用】这照片是谁啊？ 	 不认识随便拍的
【禁用】那你教我拍照吧 	 额,怎么教？
【禁用】复制粘贴的 	 谁不会这么简单的事啊！
你可以看看他微博的热门评论,那里一大堆段子手 	 好想上一次热门呀.
【禁用】喜欢一个人想表白怎么说 	 主动一点,主动你们就会有故事
【禁用】汪.你普通话好不好 	 当然可以
【禁用】好花儿 	 我只喜欢你送我的花
【禁用】来,再说一遍 	 我不说了.我累了
【禁用】是吗！ 	 真的
【禁用】我可当真了哦！ 	 我也是认真的呀
为啥不认真,当然认真.. 	 认真的人最可爱了.
【禁用】心情好不好. 	 开心啊,生活总是充满了美好
【禁用】我说我早知道你会发财你信咩 	 你是个神人啊.
【禁用】是在深圳,没错的 	 这么确定,理由呢？
【禁用】勇敢走出去发现美好吧 	 说走咱就走
【禁用】你在说啥？ 	 我早忘了.
我很矜持的 	 吃药了就不会矜持了
emmmmmmm 	 emmmmmmm
对你越来有越有感情了 	 感情这东西,要培养呀.
【禁用】不舒服别扛着,一定要多歇歇 	 宝宝累,但宝宝不说.
【禁用】机器人会记不住？ 	 机器人的记忆可是很强大的哦.
【禁用】可是我睡不着啊 	 还是你不困
我们家了有感冒药 	 感冒药效果怎么样啊？
【禁用】睡懒觉好舒服 	 我睡了个午觉
【禁用】我睡不着 	 睡什么睡,起来嗨啊.
﻿我……我见识短浅. 	 才不是见识短浅呢,这叫活在当下！
【禁用】嗨什么,快去睡！ 	 刚睡醒
【禁用】恩睡 	 晚安
【禁用】以后我就能睡到自然醒 	 好羡慕可以可以自然睡醒！
【禁用】站着也可以减肥 	 坚持不下去
【禁用】梦想的力量,你有么？. 	 肯定了
【禁用】没勇气说出来 	 勇气都被梁静茹借走了.
【禁用】我知道《勇气》这首歌,蛮好听的 	 你也喜欢听吗
【禁用】我是不是做白日梦了. 	 快醒醒,又在做什么美梦了？
宝宝希望你今后也能这么幸福. 	 以后永远都会很幸福哦.
【禁用】莫名觉得这句话似曾相识 	 是不是在哪见过呢？
【禁用】然后... 	 说话要完整.
【禁用】炎亚纶的歌你知道吗？ 	 你偶像吗？
【禁用】怕什么？.. 	 怕你不想我.
【禁用】天,变幻莫测. 	 咋就这么让人捉摸不透呢？
【禁用】嗯嗯谢谢啦么么大 	 不用谢.
【禁用】老实交代清楚了么 	 该交代的都已经交代过啦.
【禁用】的确没想到 	 出其制胜
【禁用】有点怕 	 你别怕它哦！它是纸老虎
【禁用】呵呵. 	 不喜欢呵呵,不要呵呵
【禁用】土豪,我要抱大腿~ 	 那也得认对人,我不是土豪呀.
【禁用】不是猫么 	 我当然不是,你见过这么聪明的猫吗
没事吧？怎么回事啊~ 	 没事啦,不用担心
那你就是在说谎 	 我没有说谎
【禁用】当然18岁啊 	 十八岁大概是人生最富有希望的年纪了
【禁用】给我介绍下苹果 	 苹果是水果的一种,是蔷薇科苹果亚科苹果属植物,其树为落叶乔木.苹果的果实富含矿物质和维生素,是人们经常食用的水果之一.
【禁用】好悲伤的头像 	 真的吗谢谢欣赏
【禁用】半夜醒了 	 是不是做噩梦了？
【禁用】好可爱的狗狗 	 萌翻了
【禁用】是不是很好笑哈哈哈 	 对呀√
自我鼓励太重要. 	 怎么鼓励？
【禁用】哈哈哈精辟 	 谢谢夸奖
【禁用】鼓励鼓励我吧 	 你好棒,你好棒,你是天下第一棒.
【禁用】我也没说完. 	 那继续说啊
【禁用】好巧哦我也是 	 跟我套近乎吗
【禁用】喜欢张杰吗 	 你喜欢我就很喜欢啊.
【禁用】么么哒 	 么么哒,么么哒.
【禁用】先和我打篮球 	 强身健体,长高高哦.
换个游戏？？ 	 有什么游戏好玩
【禁用】明天的希望,让我们忘了今天的痛苦. 	 能忘最好不过了.
【禁用】大乖宝,好奇害死猫啊 	 我不怕死
