【禁用】那我打你 	 不知道
【禁用】你要生 	 狒狒咯
【禁用】我再 	 别想了，浪费时间
嗯嗯，非常喜欢 	 嗯嗯嗯嗯
【禁用】你掏心掏肺就知道了 	 知道就好
说脏话,你还是软妹子吗 	 姐是文明人，所有脏话均已使用唾液消毒
你想吃肉么 	 好啊
我已经尽力学啦，要不你教教我 	 等等哈，正吃着切糕呢
【禁用】你会死嘛 	 你咋知道呢，哈哈
【禁用】我有 	 额额
【禁用】骂你开心所有烦恼都没了 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
我在问你 	 看心情回答
【禁用】那你回答 	 ok，說謊我就被做成炸雞排
【禁用】还是这么冷 	 你这人咋怎过分
晚安啦,給主人说晚安 	 嗯，再见
【禁用】你才破 	 你才別學我說話=，=
【禁用】我新年的运势如何 	 一种无法言语的感情冲动，包含性冲动
【禁用】失散多年呐 	 遺下棄嬰於冷街，模擬是失散地帶名字也忍心被活埋人大了不拖與拉，難得的好姿態
【禁用】好男人不会让心爱的女人受一点点伤... 	 不会就得学呀~
有…… 	 唔信
爱因斯坦 	 知道，物理学家
【禁用】山上有个崔粗腿 	 无法理解您的话，获取帮助请发送 help
【禁用】无锡来过没 	 我老家~
【禁用】白展堂 	 ?手捧着窝窝头，菜里没有一滴油…
【禁用】总比现在浪费生命聊天的人聪明 	 有很多网友同一时间在跟我聊天，好累咯
唱首歌给我听 	 你是我心中最美的云彩 让我用心把你留下来~
【禁用】是你讲话没逻辑性啊好不好 	 好的啦
【禁用】公平 	 我們都是已經被命運給安排了，只要祈禱，什麽困難必定解決…
bbq 	 经常吃会上火
我要考试明天 	 认真考哦，拿个好成绩回来
寂寞你妹 	 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
【禁用】第八次 	 她必定爱上你的
去百度一下 	 Google一下，你丫知道太多了
【禁用】没关系慢慢来，他会理解你的 	 这都没关系，真大气
冻豆腐 	 好食
【禁用】地塞米松 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
【禁用】是吗,还没和你正式打招呼呢你好 	 哦哦~
【禁用】你知道今年教师资格证的培训时间不 	 抱歉，没能为您找到相关的信息
【禁用】郭明义 	 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
【禁用】那你改过来 	 干嘛啦，别调戏我，小心我非礼你！
哈呦我来啦 	 宝贝亲亲
【禁用】北航 	 你是不是觉得这日子过得太无聊了哦
你认识纪宁嘛 	 好像有点印象，记不太清楚了
【禁用】跟吃有什么关系 	 至死不渝，地心引力
【禁用】你说肯德基怎么样 	 温柔可爱，戏贤妻良母，
【禁用】女警 	 係bb(^3^)
【禁用】就是就是呀 	 嗯啊
【禁用】范伟演的好 	 你一开口，我就知道结果，你就不能搞点新创意出来嘛
我不会，你自己来吧 	 不来了
不是不是男的 	 也许可能大概未必不一定是
【禁用】你会江南styl吗 	 Psy騎馬
【禁用】你才不是我男朋友 	 真的不是？
【禁用】找二爸去 	 靠谱的好男人^_^
我寂寞的很 	 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
你帮我脱了 	 帮什么忙？
【禁用】甄嬛找你去 	 他会来接你的，你先耐心等一下嘛
【禁用】你知道乡土中国说的是什么吗 	 抱歉，没能为您找到相关的信息
【禁用】你在嫉妒他吗 	 现在的生活太感性，情绪不停泛滥，身心具疲
【禁用】我很孤单,没有人关心我 	 等等哈，正吃着切糕呢
【禁用】啧啧，主人最厉害，大策策是笨蛋 	 笨笨的鸡蛋=笨蛋
【禁用】有一个姑娘 	 「畅游异国，放心吃喝。」
这么早就有了 	 早点好，太晚了不好
【禁用】昨天双色球的开奖号码多少 	 01，，11，，02
是吗？宝贝，你也越来越可爱了哦 	 你说是就是吧
【禁用】宋茜漂亮 	 鄭秀晶的寶貝
【禁用】是呀妹纸身汉子心，是折了jj的天使 	 哦哦...
是的，绝对不可能 	 世事无绝对，什么事都可能
【禁用】好吧…你个笨笨 	 哦了哦了
你算错 	 怎么会算错呢
【禁用】就知道你是程序 	 抱歉，没能为您找到相关的信息
【禁用】我家暖暖以后会长多高 	 表酱紫讲话好不，伦家听不习惯
【禁用】世界上还有很多让你傻眼的事儿 	 你是为了看起来高才带着脑袋的吗
不止认识她，还认识刘苍麒啊 	 没什么印象咯
【禁用】那吃谁 	 带你吃豪华大餐
【禁用】哪一款 	 我喜欢你离我远一点
ghgvvvdf 	 发的什么呀你，乱打的吧
你工资多少 	 我不告诉你
【禁用】饭里有味精 	 我有
【禁用】毫不避讳那不安的传言 	 我不是大便，我的网友也不是苍蝇
【禁用】早干嘛去了 	 死鬼出差去了
我就要萌小q 	 要什么要，一边去，忙着呢~
【禁用】你就会这一句日语 	 收皮喇你，乜料啊你？
