info,name,title
,画外音：,公元前二零二年，项羽在楚汉之争中，被困垓下。
,画外音：,项羽，项羽，项羽吾弟，若无你鸿门宴上妇人之仁，放我一马，怎么会有今日你垓下之困局。
,项羽：,小人，你个小人，你有胆量你现在出来，你出来呀，你出来呀！
,虞姬：,大王，大王，大王。
,项羽：,虞姬，我不是三日前，让子期护你离开，你怎么又回来了？
,虞姬：,离了大王，我还能去哪？
,项羽：,可我现在身处困境，你于我只能徒遭烦恼，赶紧走吧！
,虞姬：,那也好过再受这离别之苦。
,项羽：,是，我让你受苦了，我本该与你共享锦绣山河，怎奈，连累你与我，困在这破败的垓下城。
,虞姬：,大王不必愧疚，英雄所在之地，一城，即是一国，此刻，这垓下便是西楚的王城。
,项羽：,王城，英雄，事到如今，此乃残兵，我乃败将。
,虞姬：,大王，你可记得，你我定情，也是在这朗月之下，只是大王一身戎马，你我四目相对的时间太少。
,项羽：,楚歌。
,虞姬：,将士思乡，才会高唱楚歌。
,虞子期：,参见大王。
,项羽：,讲。
,虞子期：,大王，汉军在阵前高唱楚歌，令我军心散涣，一众将士因思念家人，而要弃战回乡，我等加以劝阻，才如数归营，臣以为
,项羽：,一个不留，斩。
,虞子期：,大王，此令请三思再传。
,项羽：,传令，逃人尽斩。
,画外音：,霸王有令，逃人尽斩，霸王有令，逃人尽斩，逃人尽斩，逃人尽斩
,项羽：,从今往后，有叛逃者，比军法处置，你也不能例外。
,虞子期：,臣不惧。臣但愿一死，但在此之前，臣要是要恳请大王，此战不能再打下去了。大王，你若执意一战，并要斩了这帮弟兄们，你就是困在西楚霸王的空名之中，你就是一意孤行者，你将失去人心。臣言已尽，请大王赐死。
